label	text	is_valid
positive	@APGPhoto oooh nice .. Tis tempting to go up the lakes with my Nikon ...  Hmmmm I may do that ..	False
neutral	BLACK FRIDAY Huge Saving Aerial View of a Cityc Paris Las Vegasc the Las Vegas Stripc Las Vegasc... http://t.co/DCTgeSED	False
positive	YES we all know INDIO vs CV is tomorrow the BELL GAME. Its enough.!!	False
negative	@MelmurMel @PBandJenelley_1 @vl_delp_ham_ Jenelle liesc1st she said she was alone &the hosp.now shes saying how weird it was for Keiffers	False
negative	@MyBeautyisBrown LMFAO his big ass get on my nervesc you going to class tomorrow?	False
positive	@tantrak Im going to Hong Kong during that time and mamA is on Nov 30. I want to see them live	False
positive	Happy 20th Mr. President! Nick J forever off the chain.	False
negative	Dream High 2 sucks compared to the 1st one.	False
neutral	Mohamed Morsic Egypts Muslim Brotherhood presidentc instructed the Supreme Council of the Armed Forces Thursday... http://t.co/NnBeUvSt	False
neutral	Cmon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers	False
negative	@thehuwdavies you think the Boro will beat Swansea? Im not so surec December/January is when we implode	False
neutral	At the first Grammy Awardsc held on 4 May 1959c Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Yearcwith Volare	False
positive	Happy birthday VOW  (the 3rd anniversary)	False
positive	@JennetteMcHevan I have studied all day but tomorrow Im going out with friends! :D Omg Jennette did?!!!! Im gonna look! <3	False
positive	Good morning Thursday. Life is fragile. Were not guaranteed a tomorrow so give it everything youve got. - Tim Cook [Do it for Jobs!]	False
positive	#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! http://t.co/DlXY0LCg	False
positive	@Astrochologist anything. I wondered how the aspects btwn my sun/moon faired with my rising. I also have Venus in Sag...yea lol Thank u :)	False
negative	My teachers call themselves givng us candy....wasnt even the GOOD stuff. I might go to Walmart or CVS tomorrow/	False
neutral	#Broncos Peyton Manning named AFC Offensive Player of the month. Its his 5th such honorc second to Tom Bradys 6c tied w/ TD.	False
neutral	@TooZany is bringing out Kendrick Lamar the 6th of December!?! Get your tickets now!	False
positive	@jackseymour11 I may have an Android phone by the time I get back to school! :)	False
neutral	Andres Wigan Warning - #COYS Official Site Wigan might currently occupy 15th place in the Premier Leaguec... http://t.co/3mo7WIWd	False
positive	@Genesis8907 Tryst tonight! Best industry/local/Thursday party in Las Vegas!	False
positive	What If it rained? We didnt care.. She said that someday soon the sun was gonna shine.. And she was right.. This love of mine My Valentine	False
positive	@CalebMac93 @strokemyego17 royal rumble tomorrow nightc my house. assemble the crew were gettin real this time haahaha	False
neutral	@juice005 strange enoughc Im going to see Noel Gallagher in concert tomorrow  night. #alldayb1tch	False
neutral	When my professor passes out candy and says a very small amount of that may be from Valentines dayc just so you know	False
neutral	How are they going to act in new york with the subways out? They better clutch it out like Eli Manning 4th quarter	False
negative	Homegrown talent missing on Signing Day: Throughout most of the day on Wednesdayc the video scoreboard ... http://t.co/6dZ2hQkD #Raleigh	False
positive	taylor swift is coming with ed sheeran june 29th? most perf news ive heard all night.	False
positive	The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so were 4th row center. Plenty of room. Pretty fired up	False
positive	Id love to go for a pint with Jim White off SSNc think he may have a bit about him	False
neutral	@lala_cox There are going to be plenty of ups & downs for BorocCardiffcLeicester etc until May.I hope we are still in with a shout for promo	False
negative	@joeeewilliams that sucksc amazon might have some left .. hate that i wont have it until 11am on Tuesday though	False
positive	Happy Sunday last off Sadat before back to work enjoy it tweeps now to do yard work for a couple hours then some fun	False
neutral	Playing as the Browns HC K. Fri in #Madden13c XFacalac lost to the Ravens 21-28 on All-Madden #ConnectedCareers	False
positive	#CFC @juanmata10 is the best of the Premier League! His overall EA Sports Player Performance Index score: 217. (1st place) #MataMagic	False
negative	@rosanne_89 Nooooooooo rosanne! Theyve just restocked them and me going overseas Sunday means I cant afford them :(	False
neutral	The pain is far deeper than a Billy cundiff missed field goal. Gotta wake up and forget about it tomorrow. #Orioles #stayhungry	False
positive	@grandvincenzo on November 16 be ready to head to the movies. Breaking Dawn: Part 2. (;	False
neutral	after seeing @Iam_FaithReids tweet about watching The Vowc I think I may need to watch it.	False
positive	Tomorrow shall consist of watching Will Ferrell films with my fave people and Chinese foodc sweet.	False
neutral	Yeah.. You know just sitting around by myself listening to Avril Lavignec typical Friday night.	False
neutral	@Cardschatter @azcardinalsftw Dc youre the closest source btwn fans & team. BTW heard cards may sign Billy Cundiff. Any truth?! #snarklife	False
positive	@jbmclendon And the same station that will air new episodes of COUGAR TOWN in January! @tbsveryfunny has been good to usc Jordan. #PennyCan	False
neutral	Alex Poythress had 11 points and 7 rebounds in his debut with Kentucky during an exhibition game on Thursday. He played 28 minutes.	False
positive	I think I may have a heart attack for Jason Wus new collection. So Charlotte Rampling in the Night  http://t.co/2KRW4kTn	False
neutral	If I can get my equipment working correctly we will have a live show on Friday at 6 pm CST with contactee Ray... http://t.co/9LVKwcYJ	False
positive	Amazing concert tonight with Jim White and the TCU Jazz Ensemble/Faculty Jazz Combo!  Dont miss tomorrow night... http://t.co/i9asnsET	False
neutral	#Nationals 9th Inning had that 4th Quarter #Redskins feelc didnt it?  Coulda swore I saw Cundiff shank one from the mound.	False
positive	Why would you still wear shorts when its this cold?!  I love how Britain sees a bit of sun and theyre like OOOH LETS STRIP!	False
neutral	.@PPPpolls You mentioned on Monday that you would be releasing Colorado and Nevada numbers on Wednesday; were those polls abandoned?	False
positive	Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://t.co/EFc5Cfng	False
neutral	JACKALS GOAL! Jimmy Martin sneaks a rebound past Killeen to give Elmira a 2-1 lead. Bushee & Bellamy with the assists.1:09 left 2nd period	False
positive	Kick-off your weekend with service! EV!s Get on the Bus trip to the Boys & Girls Club is Friday from 3-6! Hope to see you there :)	False
positive	@nater0driguez Lmfao alright u got me there. Good job Parker and the spursc see yall jan 9th. If I get an extra ticket to that game ur goin	False
negative	Desperation Day (February 13th)  the most well known day in all mens life.	False
neutral	@SunnyClifford We have a similar circumstance in Australia. Jan 25 is Australia Day & many First peoples call it Invasion Day.	False
neutral	paul-and5homos: Harry and Louis are just fri- Eleanor is such an inspira- Harry is such a manwho- Louis is... http://t.co/jxxTNlu6	False
neutral	#web Apple softwarec retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday replaced the heads of ...	False
positive	You two may fight like cats and dogsc but youre completely head over heels for each other. You two are like Allie and Noah in The Notebook.	False
negative	@PaperChasinAL: Damn next Saturday tho Niggas was trynna get shit over with #early	False
neutral	and the 4th one is for Harry Styles!! <33333	False
neutral	this guy so much like bruno marsc its crazy. he may be his long lost twin.	False
neutral	Blog Post: MTVs Teen Mom 2 Returns for an Intense Third Season with Chelseac Jenellec Kailyn and Leah on Mondayc... http://t.co/mgMHsfvu	False
neutral	The Business Leaders Award ceremony will be held during the @wef annual meeting in Davos on the  25 January 2013! http://t.co/YI4r8UFM	False
positive	@elifyk1 Hi Elif  Greetings from USA midwest  How is school going?  Happy Turkish Republic Day!  I cant wait for Nov 8 #NewGlee Yes!	False
positive	Hoping to look FIT tomorrow on the Jeremy Kyle show #ITVFashion	False
neutral	@Jordon_Atkins me you and joe gone chill Saturday of i come tho	False
negative	Obma fails 2unite usc he divides us by sexc colorcpartycagec wealth Nevadas 1st Latino governor votes early for Romneyc predicts GOP win	False
positive	Grammys concert pays moving tribute to Whitney Houston: Whitney Houston was given a final sendoff by the Grammys on Thursday as Halle...	False
neutral	Calling all votersc Im calling on NevadacFloridacOhiocTuesday night is the night u guys will i repeat will shine for the president lets go!	False
neutral	We tallied up the votes and are announcing the winners for Calling All Communities! Tune in http://t.co/XmaXMLCQ on Nov 1st at 11am (CST)	False
neutral	Its Radio 1 Rocks next -  week starting off with a Live lounge on @fearnecottons show with Bullet for my Valentine on Monday	False
positive	Drew Peterson is #Untouchable no more! Check out these movie photos before you watch on Sun at 7/6c: http://t.co/LT9WUkOD	False
neutral	@HotspurRelated im just a 19 year old still on loan for the 3rd time at coventry 79 overall hopefully when i return bale will still be ther	False
negative	Halloween may be the second worst holidayc right after valentines day	False
positive	PUMPED to open the season tomorrow night against Georgetown!  Womens Preview: http://t.co/1k3PAK3C | Mens Preview: http://t.co/n5oFat9V	False
negative	Just found a piece of candy that may have been injected with something. #Why	False
neutral	Apple shakeup Mobile software boss eased out: Apple Inc. CEO Tim Cook on Monday pushed out the powerful head of the company&#039;s mo...	False
neutral	Somehow I managed to lose my princess leia bra on Saturday. Im going to Noel Gallagher as Glock at Phish ie jorts&tank. @custymcnoob	False
neutral	@docbungle I may relent and get one myselfc but I hope it doesnt come to that. Hopefully all the decent apps will get ported to android	False
neutral	Android 4.2 Camera app with Photo Sphere now available for Galaxy Nexus: Introduced on Mondayc Android 4.2 bring... http://t.co/yl8QQP0R	False
positive	SAEED: #NowPlaying: BEPc Ricky Martin and KT Tunstall! Great songs to get you through your Sunday! Hate the rain!! http://t.co/c9PmolGw	False
neutral	@juliecrawley25. @GininjaDesign. @Donna_Butlin. Nopec its just Camdenc eating Greek food with a pumpkin... Just another Wednesday.	False
neutral	Are you ready to shop The New Collection from H&M tomorrow?? The Grey Concept from H&M http://t.co/jQE4RJYb #fashion #shopping #highstreet	False
neutral	FAQ: What is skeuomorphic design and the executive shakeup at Apple: SAN FRANCISCOc CA - MARCH 07:  Apple CEO ... http://t.co/YCvoPl98	False
neutral	Fact of the day; Halloween night is Papa Johns second busiest night of the year behind Super Bowl Sunday.	False
positive	@nicoleandrews_ No one can hold a candle to queen coco. If shes still doing shows in August for my wedding we HAVE to go!!!	False
positive	Omg. Ricky Martin may be gay but he is one fine ass gay man.	False
positive	@lenakoncha the Clippers are playing the Cavaliers on Monday and are having a night to honor Israel! :) wish you were in LA STILL.	False
positive	On the bright side tomorrows CHOCOLATE DAY #getexcited	False
positive	Um I just learned that Sunday is NATIONAL CHOCOLATE DAY. Im totally taking advantage of that.	False
neutral	To all 90s ladiesc see you on 15th Dec - Axl Rose. @selzky @trisiska_putri @InaDio (teaser biar gak kecewa) http://t.co/hQZNzmZX	False
negative	Noel Gallagher: Musicians are fucking idiots. - Yeahc Brian May - hes an idiot... an idiot who just so happens to be a professor?	False
neutral	Vow is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday. http://t.co/FmoCg7YK	False
positive	@HOPE_forHippies Hell yea lmfaoo c & see you tomorrow Asia baby (;	False
neutral	@Real_Liam_Payne I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo!	False
neutral	Its November already.. Christmas will be here soonc then New Yearc then Valentines day then GRADUATION?!?!	False
positive	#NowPlaying Michael Jackson - Shes Out of My Life (Live At Wembley July 16. http://t.co/vxRYuADn L.O.V.E it! #MjTunes	False
negative	Niggas be on the LAKERS DICK...we still gon finish damn near first seed...while yo team be struggling for the 8th spot	False
positive	@RediTlhabi @StevenB7777 OCTOBER  people have principles..& argue passionately for themc about them & ACT on them.  Ghandic Sadatc ADTc me!	False
positive	@amberrblack amber fantastic news!!! We will reunite with Barbara and jenelle on November 21st when teen mom 2 premieres!!	False
neutral	I need another Viv necklace... May buy myself one for Valentines day #nojoke	False
positive	Im in the bathroom bumping Niggas In Paris Crunk ass hell like its my 1st time hearing it this song will never get old lol	False
neutral	Just got tickets to see Muse in Florida. Thatc combined with the Grammys two weeks priorc equals a really busy February for Ruby and myself.	False
positive	Welcome Nick J! :) @nickjonas  In Manila! So excited for the show on Friday.	False
neutral	Battle for the 17th banner: Royal Rumble basketball edition	False
positive	no matter what anyone says...Ray Lewis may be the best defensive player to ever play the game. Hes got heart and hes got anger.	False
positive	4th Album out #REDc #20MillionSwiftiesc 6 Grammy Awardsc 10 AMAsc 13 BMI Awards! Reigning Entertainer of the Year ACM!  #6YearsTaylorSwift	False
neutral	Smooches from Fido: Yea or Nay? - July 6th was International Kissing Day (of the human sort). Later in the monthc Ca... http://t.co/ctBrbIFt	False
positive	Its midnight on the east coast which means its @nickjonas birthday! HAPPY 20th BIRTHDAY NICK J!!!!!!!!!! <333	False
negative	Apple CEO apologizes for error-ridden new map app: Apple CEO Tim Cook apologized Friday for the companys error-ridden new mobile map...	False
neutral	Monta Ellis / Ellis provided just five points on 2-of-13 shooting Thursday http://t.co/AErfHHuK #nba #playersnews	False
neutral	When I teach a basketball in my own schoolc were gonna spend the 1st day watching Larry Bird videosc & the rest will take care of itself.	False
neutral	AT&T offers free cloud storage for iOS and Android AT&T on Thursday announced a new service it calls AT&T Locker th... http://t.co/7yoVkmMX	False
positive	We are here @NBCofChicago for our 12th Anniversary celebration.  You still have time to make it - 6620 S. King Dr	False
neutral	@KarimAndSugar I told you Shane would get his 5th-star on Rivals before Signing Day. @Taylor_McNeill7	False
neutral	@mysticvalley Mitch are you free on Sunday to bale leaves for an hour?  If not no big deal  you can have them for animals	False
neutral	@stevefekete @altberry @ferlazz @jimmymcgorman @rodneyondrums me heart will explodec i need some new about avrils 4th album	False
positive	Love how I skipped every category of the NTAs besides the soaps. Couldnt give half a fuck if everything else went off the air tomorrow.	False
negative	@starky88 @nfl_uk Was in on sat and they only had the Ray Lewis home jersey.  They didnt have a lot either.	False
neutral	New York Giants: Game-by-Game Predictions for the 2nd Half of the Season http://t.co/yK9VTjcs	False
neutral	Cmon cmon does sound like Queens we will rock you somehow...	False
neutral	Mashed out to Niggas In Paris in the club while in Paris... as cliche as it may sound. #WeOutHere	False
neutral	Pick the Chelsea team to play Swansea - Chelseas focus now turns back to the Premier League and on Saturday we make... http://t.co/6Az8JiIz	False
neutral	@MarkUkLeaf I just had a look and it seems Nash to Davos is a done deal along with Joe Thornton. I may have to pay a visit...	False
positive	My mom just texted me reminding me that Grammys birthdays tomorrow.. HOW COULD I EVER FORGET? #BiggestDayOfTheYear	False
positive	@ariaclemente Wow! youre also a percy jackson fan! :-) The 4th book of Heroes of Olympus will be entitled House of Hades @camphalfblood	False
negative	Esperance will be without star player Youssef Msakni for the first leg of the Champions League final against Al Ahly on Saturday. #AFRICA	False
negative	@chrischris__  The Sun: Paolo Di Canio says beating Aston Villa tonight would be like having sex with Madonna. #legend	False
negative	OBVIOUSLYc i am not a fan of Dream High 2 and i havent even watched it! wellc i watched the 1st epcthats where i heard that song!^^	False
positive	Black History Fact: Marsalis is the 1st and only artist to win both classical and jazz Grammy Awards in one yearc and to repeat the next yr	False
positive	Watching David Letterman with no audience but playing like they are still there is the 2nd most brilliant thing Ive seen tonight.	False
neutral	Gov. Mitch Daniels will announce his Indiana Supreme Court pick at 10 a.m. Will the 3rd time be the charm for a female member of the panel?	False
neutral	Goodnight everyone!!! Talk to you all tomorrow :D I shall leave you with Harry Styles -A http://t.co/fC1ZKoW7	False
neutral	Most common nights to order pizza: NYEc Jan 1c day before Thanksgivingc Super Bowl Sundayc Halloween. http://t.co/3j3QiL3j	False
positive	The Grey and Yellow Gold Wedding Puzzle is now up with the first piece being a unique two-tone dress by @shopbop! http://t.co/1RYso3ZZ	False
negative	listening to Kendrick Lamar.....I dont even want to get a hair cut tomorrow!!!	False
neutral	HARAKAH: Iran army monitoring all ships in Gulf: TEHRANc Oct 28: A senior commander of the Islamic Revolution Gu... http://t.co/hbdrQP3P	False
neutral	HT: Norwich 0-0 #Spurs. Weve edged the 1st half without creating any clear cut chances. Bales had a couple of decent long range efforts.	False
positive	Guysc the Marijuana law in Coloradoc Oregonc and Washington can pass this Tuesday. #HighHopes	False
positive	Breezin won the Best Pop Instrumental Performance at the 19th Grammy Awards	False
neutral	Pacino is going to play Joe Paterno.  This is the 2nd time he has starred in a filmc that has the line say hello to my little friend- SNL	False
negative	Not wearing make up to Dublin tomorrow until Im getting ready for the party. Help.	False
neutral	Snow may fall for parts of CNY the next few days. Find out where the best chances will be at 6:42 am on TV & online: http://t.co/F0Kb0gqD	False
neutral	It seem like Austin Rivers is tryin to had to get a bucket. I feel em tho my 1st game in the league I was trying hard too	False
neutral	Cofield draws leadoff walk in top 4th. Zaharion at the plate.	False
neutral	@BieberGomezTour aww my celebrity day is this thursday alsoc going as Jennifer Hudson though :)	False
positive	@MehDusta I MISS YOU AND I BETTER GET A JUGE KISS AND HUG TOMORROW NIGHT (because you WILL BE at joes :))	False
negative	Took me ten clicks to figure out where to early vote in Colorado. That site doesnt say what you need to bring. Cmonc @ColoSecofState	False
neutral	Sat down to watch Michael Jackson this is it on DVD xx	False
neutral	On the set of the Axis of the Nigerian Economyc airing every tuesday 8:30pm on NTA international (DSTV) http://t.co/qFvON8Uj	False
positive	Text from my dad: you like Charles Dickens 1) obvs looking at my amazon wish list (too late for Sunday) 2) why th surprise?!	False
negative	Upset alert in ACC mens soccer: #1 Maryland down 4-2 to Wake Forest late in the 2nd...AND down a man after an earlier red card.	False
negative	really bored of this host on Super Sunday doing nothing but talk and rave about Man Utd #BiasPrick	False
neutral	I may have missed out seeing Noel Fielding and Rich Fulcher todayc but I did just see Tom Tilley! #samsimmons	False
negative	Thankfully hes in Germany now. And comes home in January. Still dangerous though.	False
positive	Looper was amazing!!! Now to the theatre to see Simon Callows The Mystery of Charles Dickens ...loving my Wednesday off work :-)	False
positive	If youre an October babyc then Happy Valentines Day to your folks ... They have an annual memory	False
neutral	Negros and nigglettesc all who would like to attend the a$ap rocky concert on  November 17th at starland lemme know tickets are only 25	False
positive	Wish Maddie luck next saturdayc she has a solo audition for Britains Got Talent! :) ~ Ellie xxxxx	False
neutral	#NFL Victor Cruz went public this month with his desire for a new contract. On Tuesdayc the Giants rec... http://t.co/yzl60CHD #FOOTBALL	False
neutral	% of Joe Pa masks at Penn State Sat? Or will PSU by allow then in the stadium? Is it bad to wear it? @Espngreeny	False
negative	@MeganWitmer thats crazy. Im more jealous of u going to Joe Pas grave! I was sad Saturday when I walked past where the statue should be:(	False
positive	Mizzou commemorates its win over Kentucky with a T-shirt. Noc really. | Dr. Saturday - Yahoo! Sports http://t.co/2u46BvQ6 #fb	False
neutral	Who should The Rock face for the WWE Title at the Royal Rumble? I just voted #rockpunk would be a 1st to see	False
neutral	@FruitPunchToday lol that was our only year we may have had a chance at the Superbowl. Now we must wait until Nick Foley	False
neutral	@Vikingdane1 Thinking a bolt action .30-06 may have to be in the cards for Valentines Day or something.	False
positive	Happy Valentines Day!!! @MAziing: Everyday is the 14th!	False
neutral	I have to finish reading Paterno by tomorrow so I can watch football Sunday and Monday and prepare for the #NBA2k13 release #120pagesleft	False
neutral	@xBecx92 it may be Indian time tonite Becky :-) xx	False
positive	Just watched The Campaign with Will Ferrell and Zack Galafianakis... Good fun for a Wednesday. #Hilarious	False
neutral	@sumeetkulkarni Season ends with Superbowl in first week of February.	False
neutral	@HilciaJSu Your review reminded me I still need 2 read the very 1st Percy Jackson book! Heroes of Olympus is an offshoot series from it?	False
neutral	Crazy I was in a meeting with an old NBA player that was picked 3rd before Larry Bird	False
negative	This Sunday New York Giants are going down. #Steelers	False
negative	As an introduction to Literature we wrote about The Woman In Blackc not something I particulalry want to readc may just cry #ShitMyself	False
neutral	@Ilovedoobz: @Patty_flipping I didc the other new is in todayc northern lights...... I get payed tomorrow!	False
neutral	Just finished rehearsing with @DWHY - we are ready for the Kendrick Lamar show tomorrowc shout outs to WVU... http://t.co/d76r8YZH	False
neutral	I posted 12 photos on Facebook in the album Super Sunday wid Shobhit Bhatia...... http://t.co/9DYtiAxO	False
neutral	I been watching All-Access Kentucky every wed and it has been making me like these young dudes on Kentucky.	False
positive	Nick J all day and #30 on my powder puff pants. Looks like Im gonna be a stud tomorrow under the lights. @L_Starcevich @N_Jeffries13	False
negative	Roy ... just go ... youre a bigger embarassment than Capello and McClaren ... http://t.co/EAsMq1m7	False
neutral	##$$## Black Friday Deals Nikon D3200 24.2 Megapixels Digital SLR Camera with 18-55mm NIKKOR VR Lensc Black & Nikon ... http://t.co/NPMjK8UC	False
positive	Han mon dieu le remix de I am the best dans Dream High 2c je meurs XDDD	False
neutral	You do not want to miss this tomorrow night.  RJ is moving to Maryland soonc and we have a truly epic set planned... http://t.co/NItJIA5v	False
neutral	Dont forget Mitch Daniels is going to be on Steven Colberts show Thursday.  Think this will come up as a topic?	False
positive	@bline803rasta: Mane I gotta see that Denzel movie tomorrow! Shit look like its gone be a good oneditto. Im going to try to go tomorrow	False
neutral	@BarackObama: I would think you would do that if you are running for POTUS. It may be part of your job someday.	False
neutral	Grammy and Caleb going Freeport tomorrow chaleec	False
neutral	@kdbowe But how you gon handle it if you are announcing ON SUPER BOWL SUNDAY?!! You might put that gold back in yo grill.	False
neutral	@Dapper_Dan1988 I have plans to go to CVS before work today and get something.  That may be what I get. Im going to quarantine myself today	False
neutral	iPhone 5: Apple CEO pledges to improve new map app: Apple CEO Tim Cook apologized on Friday for the companys er... http://t.co/7dzvgXNz	False
neutral	Full Moon:Oct 29th. You can read more if you have your Sun Sign in Librac Scorpioc Sagc Capc Aqua or Pisces http://t.co/HNgb7Qn3	False
neutral	Drew Peterson may be convictedc but there is still conflict going on http://t.co/lmqKV7XZ #whenwillitend #localnews #chicago	False
neutral	@WFAN660 Paterno wouldnt be charged. All hearsay on him and he did do his job (minimal as may be). He reported it. Rest is speculation.	False
negative	With all Bensons attentionc Frankie feels like a forgotten stepchild. Lets founding father him so he know we will never forget 2nd place.	False
negative	Policec protesters clash at Republic Day march in Turkey: On a day marking the 89th anniversary of the founding ... http://t.co/xewokaIE	False
positive	I will be participating in a Google+ Hangout with @TheEconomist tomorrow!  Im SUPER excited! Check it out: https://t.co/jvmZcqBa	False
negative	@buckbelue8 why do you think Murray may leave? No way a team drafts him before the 5th or 6th round!	False
positive	Aww love you Austin Rivers and happy to see you get start in 1st NBA game...but its against my boysc LETS GO SPURS! #Spurs #NBA	False
neutral	@witheredhand Ive paid a few quid for a Jim White record if I recall correctly but Im not in the biz so i may well be missing the point.	False
positive	@TeamStradley mines personal thinking Tebow is better then Flacco. I dont care how bad he played Sunday	False
positive	@OilOnWhyte @albertaoilfire another center? Gagner is a good cheap 2nd line option that we can afford and keep the kids.	False
negative	@politicalwire Im still shaking my head at that decision and that the Heat & Knick are actually playing tomorrow at MSG.	False
negative	the glass may be risingc but its not getting any warmer herec Lago del Desiertoc Argentina http://t.co/Hp4S2M5G	False
positive	Wish I could make that trip to Athens on Tuesday @iCaptainMorgan	False
neutral	Apple softwarec retail chiefs out in overhaul: SAN FRANCISCO (Reuters) - Apple Inc CEO Tim Cook on Monday pushed out the powerful hea...	False
positive	i want to watch The Grey... for the 16th time.	False
neutral	Capello says time for Russia to win big match: Russia manager Fabio Capello on Thursday said that he intended to... http://t.co/EFc5Cfng	False
neutral	Im hosting the Day party @ Spartacus Friday From 2-6 and then @ Spy in Raleigh that night!	False
neutral	Eli Manning hopes the Giants can uplift the spirits of the millions affected by Sandy in NY with their game against the Steelers on Sunday	False
neutral	@_AllBelongs2Me_ the McCormick Place....rite here by the hyatt hotel on like 23rd nd King Dr.	False
positive	Fabio Capello: From what Ive seen these days I can assure you Russia are capable of getting a good result vs Portugal tomorrow. #cantwait	False
neutral	@bbberb not necessarily. In Nevada it may help Obama because its one less vote for Romney. But I know what you mean hah.	False
negative	Parkerc Leonard steal OKCs thunder: Ninety minutes before tipoff Thursday night at the AT&T Centerc Oklahoma Ci... http://t.co/NNjbPSWk	False
positive	@Kreuzer_11 I really do hope they finish the trade by Tuesday or Wednesday. Gagner is a real solid player and could help the sabres	False
positive	After watching the campaign again I have realized that Step Brothers is still the funniest Will Ferrell movie but this one is in 2nd place	False
neutral	@_Sherwood12 hes on the plane to Amsterdam nowc bet hes not in class tomorrow	False
positive	@_bethanygarland I really wanna go to one of his things! Did you watch his new thing on channel 4 last Friday? xx	False
negative	I -may- be the only girl on the face of the earth that DOESNT find Channing Tatum attractive. #callmecrazy #justsayin #donthateme	False
positive	Obama may have been better off staying putc personally Im glad hes back on the trail- hes helping move people to Mitt!	False
neutral	Cold pizza and Mass Effect 3. I want my leg healed!! Going to look up some voodoo shit. Ill be walkingc jumping and running tomorrow.	False
