Id	text	Expeccted
10	"Reserva sem complicações no site do hotel. Apartamentos reformados. Café da manhã com boa variedade de itens. O restaurante atende à noite com boas opções no cardápio, inclusive aceitando adaptações na composição do prato (pedi para substitutir o arroz por salada), foram muito gentis e atenciosos. Localização excelente, vizinho ao Brasília Shopping. Setor de reservas muito atencioso.
"	positivo
11	"Hotelzinho simples porém que oferece boa limpeza. Cama razoável. Ótima localização e pessoal gentil. Não possui uma estrutura nova mas para quem busca economia vale a escolha. Café da manhã com muitas frutas.
"	neutro
12	"ótima localização próximo a 3 shopping e próximos aos pontos turísticos, próximo aos eixos principais da cidade e que possibilita a locomoção entre os pontos. quartos limpos e organizados, possui quartos com tres camas o que ajuda a diminuir as despesas em viagem em grupo.
"	positivo
13	"A localização do hotel é ótima. Fica no setor hoteleiro e é muito perto do Brasília Shopping, Da torre de TV e de outros pontos turísticos. As instalações do hotel são boas, o quarto e banheiro são bem limpos e confortáveis, os funcionários são bem atenciosos. No geral gostei.
"	positivo
14	"Fui a trabalho e me hospedei apenas uma noite... mas gostei muito do hotel... funcionários atenciosos e rápidos... roupas de cama e banho muito brancas e cheirosas... localização muito boa. O café da manhã é simples, mas cumpre sua função.
"	positivo
15	"Hotel antigo, porém bem arrumado, funcionários prestativos, bom café da manhã, ótimo custo beneficio, além de bem localizado próximo ao shopping Brasilia e 3 km do Congresso Nacional. Apesar de antigo é reformado e atende o que anuncia.
"	neutro
16	"Fiquei surpreso com o Bittar Plaza Hotel. Para quem está procurando um Hotel com ótima localização com bom custo benefício, eu indico. Eles fizeram uma reforma nos apartamentos (deve ter sido para a Copa do mundo de Futebol) e ficou bom. Você fica bem instalado, por um preço justo e em uma localização privilegiada em Brasília. Indico.
"	positivo
17	"O Hotel é simples mais atende as necessidades. O quarto que ficamos era razoável mais limpo, o banheiro também limpo, a sacada tinha varias bitucas de cigarro jogadas no chão e dava pra ver a sacada do outro quarto de encostasse no para peito, o corredor onde ficava nosso quarto estava em reforma então estava bem bagunçado, nada que atrapalhasse nossa estadia. A luz do banheiro parecia que tinha que esquentar pra poder funcionar, ficava piscando por um tempo até permanecer acessa, o secador de cabelos funcionava por um determinado tempo depois parava ele tinha que esfriar pra funcionar novamente. O maior atrativo deste hotel é sua localização, por fica próximo do shopping, da torre de tv, da feirinha e do estadio.
"	neutro
18	"Maravilhoso este hotel, um luxo só, quartos bem limpinho cheiroso , recepção maravilhosa, super índico voltarei lá umas duas vezes... só mudei de hotel pelo aumento muito elevado do tal. mas com certeza se eles verem que o aumento foi muito alto mesmo ... com certeza voltarei novamente adoro a vista é perto de tudo que mais gosto. super índico
"	positivo
19	"O hotel é bem localizado, a equipe é atenciosa, mas os problemas se sobressaem: internet paga e muito lenta, banheiro com fedor de ralo, café da manhã com cereal velho, ar-condicionado extremamente barulhento (inclusive o split), pratos sujos largados na janela da escada de emergência... Enfim, já vi hotéis melhores com tarifa muito menor... 
"	negativo
20	"Hotel bem localizado, quarto limpo, banheiro limpo, roupa de cama em bom estado. Café da manhã razoável. O destaque desse hotel é para a localização: muito próximo dos principais pontos turísticos e do Shopping Brasília. Para estadias curtas vale muito a pena.
"	neutro
21	"O hotel foi no geral muito ruim. A terceira cama era um colchão no chão, o café da manhã era vergonhoso e pior de tudo eram as baratas que saiam do banheiro. Quando reclamamos o funcionário disse que não sabia dos quartos pois só trabalhava na recepção (???). Depois de dois dias e muitas baratas resolveram nos trocar de quarto, mas com cara de que as baratas não eram nada demais. Só não digo que é péssimo pois a localização é muito boa e outros funcionários foram mais solicitos.
"	negativo
22	"Lençóis limpo, quarto tamanho razoável, ar condicionado bom, TV boa, e instalações limpas. Banheiro antiquado, mas usável. Em Brasília os hotéis são caros, então se você precisa 01 ou 2 noites, esse hotel é adequado, acho que essa é a palavra correta. Não espere luxo. Fica próximo do Shopping, dá para ir à pé e praticamente em frente tem o Espetinho do Galego. Muito, muito bom, depois descobri que é um dos melhores de Brasilia. Enfim, passa bem, mas não para muitos dias. Detalhe, fiquei com meu pai em um quarto triplo, então não posso avaliar o tamanho do duplo. O café é o suficiente, mas poderia ter pelo menos um ovinho quente. Ah, por fim, o wi-fi é pago. Dá para acreditar? Nos dias de hoje?
"	neutro
23	"Hotel bom e bem localizado. Não consta no trip mas ele possui café da manhã, e o mesmo é bem reforçado e bom. Com bastante variedades. O atendimento é bom, única coisa ruim é que não possui garagem e o hotel manda assinar um termo no qual não se responsabiliza por roubos. Fica próximo aos shopping e aos monumentos. Quartos razoáveis e amplos, apenas o banheiro vaza agua quando tomar banho. Os preços são razoáveis.
"	positivo
24	"Definitivamente, não existe palavra que defina melhor o lugar do que ""muquifo"". Estive hospedado na última semana, só haviam quartos disponíveis no subsolo, todos eles muito mofados, com forte cheiro de desinfetante e com a presença ilustre de uma barata pela manhã. O café da manhã não dispunha da quantidade mínima de assentos para atender aos hospedes que estavam no local. Definitivamente, uma lástima!
"	negativo
25	"Colocaram a gente na garagem, piso S1. Barulho a noite inteira, gritaria, e pagamos por um quarto LUXO. Que luxo é esse? Na garagem barulhenta? Sem janela, apenas uma janelinha pequena em cima, sempre aberta, sem condições de fechar devido à altura. Um terror! Um pesadelo!
"	negativo
26	"Sempre o utilizo! Hotel simples, porém limpo e agradável. Localizado próximo à Esplanada dos Ministérios e da Rodoviária, oferece boas acomodações e um bom café da manhã. Bons preços e um excelente atendimento tem opções de transportes em anexo.
"	positivo
27	"Apesar de ser um hotel simples, o lugar é aconchegante e de excelente localização. Além de ofertar bons preços e um excelente atendimento. Super recomendo o hotel bittar por quem estiver passando pela capital brasileira.
"	positivo
28	"Localizado perto da esplanada dos Ministérios e da rodoviária, o Bittar oferece boas acomodações e excelente café da manhã. Os quartos são amplos, limpos e contam com frigobar (despesas aparte). A única nota desfavorável é o wifi que custa 11 reais a diária ou 5 reais por meia hora.
"	positivo
29	"Ótima opção pra quem vai fazer provas de concurso!!! Quartos pequenos, mas confortáveis... Atendimento atencioso e cordial de todos os funcionários... Vale muito o custo benefício... Certamente voltarei... 
"	positivo
30	"O quarto com 2 camas é excelente para quem precisa dividir. Muito espaçoso, cama confortável e bom chuveiro. Tv e frigobar no quarto funcionando perfeitamente. O hotel possui alguns bons anos de existência, e a manutenção predial deixa um pouco a desejar. Mas para quem busca um pouco de economia durante a estadia na capital federal é uma excelente escolha. Fica próximo ao Brasilia Shopping, podendo ir e voltar a pé com tranquilidade. Funcionários da recepção pouco despreparados. O ônibus executivo para o aeroporto passa bem atrás do hotel. Recomendado
"	positivo
31	"Boa Localização, cafe da manhã razoável, quartos antigos mais confortaveis, bom preço. Ë um hotel para quem não quer gastar muito e pretende conhecer a cidade. recomendo . E proximo de centros de compras shopping center.
"	neutro
32	"No centro de Brasília, o hotel oferece um serviço básico e possui um preço abaixo dos hoteis que ficam em suas proximidades. Oferece café da manhã. Vários taxistas ficam nas proximidades e a rodoviária fica a 200 metros aproximadamente. O Wifi é pago por fora.
"	neutro
33	"estive em final julho 2016 no quarto 125 que fica no terreo, quarto bem grande porem o ar condicionado do quarto não funciona e não foi arrumado, apenas ar sala espera funcionava, ducha higienica vazando tambem nao foi arrumado pediram para não abrir, Quando deu 06; 30 horas uma pessoa que lava carros nas frente do hotel começou a juntar varios baldes de agua e fazia um enorme barulho acordei assustado pensando que alguem estava entrando pela janela de vidro. O cafe da manha sempre faltava algo e numca reponhum alegando que alguem lecou a chave do almoxarifado é brincadeira e um copo agua 4,50 é demais e o mais absurdo foi cobrar 11,00 por dia para usar waiffai, fala serio tem waiffai até em barraca de estrada e de graça. Não indico a nimguem.
"	neutro
34	"Situado no Setor Hoteleiro Norte, o Plaza Bittar Hotel pertence à Rede Bittar, que tem vários estabelecimentos na capital do país, e é mais um dos hotéis ""baixinhos"" que remontam ao tempo em que Brasília tinha opções de hospedagem menos variadas e mais básicas que as de hoje. Entretanto, diferentemente de alguns congêneres, que pouco mudaram desde a abertura, foi repaginado e oferece instalações confortáveis, com preço acessível, comparativamente aos praticados na cidade. O café da manhã é bem servido. Além disso, o restaurante oferece almoço e jantar, embora com serviço demorado e opções apenas razoáveis, mas que podem ser a solução para quem não puder ou quiser fazer refeições em outro local. Uma limitação é o fato de não oferecer acesso gratuito à internet, cujo serviço é terceirizado e, portanto, pago. No mais, o Plaza Bittar apresenta localização excelente, em área de fácil acesso, inclusive em relação ao ônibus executivo que faz a ligação entre o aeroporto e a área central da cidade, que tem parada ao lado do estabelecimento. Ademais, tem, na vizinhança (caminhada de três minutos), um shopping com várias opções de alimentação e compras. Uma boa pedida, tanto para quem viaja a trabalho ou a passeio.
"	neutro
35	"Hotel que preza pela privacidade, com um bom atendimento e ótimas comidas. Porém, fica longe de farmácias, supermercados, etc. Apenas um shopping pequeno perto. À noite é perigoso e escuro, mas de dia é bem movimentado.
"	positivo
36	"bom Hotel , um Ótimo Café da manhã só a internet é cobrada o que achamos um absurdo mais no mais fora está cobrança eu indico próximo de tudo "" shopping , ônibus direto do aeroporto passa próximo , próximo ao Senado a camara federal aos prédios importantes na capital do Brasil
"	negativo
37	"Hospedei-me por uma noite. Localização ótima, fácil acesso à Esplanada dos Ministérios e ao congresso, restaurantes e shoppings. Atendimento bom por parte do staff, mas as instalações necessitam de reforma e / ou modernização. Café da manhã bom. Somente para dormir em viagens rápidas.
"	neutro
38	"Localização boa, o ônibus executivo te deixa na porta do hotel, porém no quarto em que fiquei o chuveiro quente não estava funcionando, contatei o serviço de manutenção do hotel mas pouco foi resolvido pois a água só vinha a esquentar muito tempo depois e era pouca coisa. Uma parte do assoalho próximo à minha cama estava descolando, porém o quarto e o banheiro eram amplos. O café da manhã é bom, estava tudo gostoso. Para uma viagem a negócios ainda vale a pena.
"	neutro
39	"Hotel simples, sem grandes luxos mas com cama e chuveiro muito bons! Tudo muito limpo, quarto espaçoso e atendentes prestativos. Café da manhã com poucas opções, mas muito gostoso! Ficamos apenas uma noite, e economizamos muito na estadia. Localização excelente nos permitiu deslocar pelos principais pontos da cidade com facilidade.
"	neutro
40	"Fiquei durante 5 dias nesse hotel. Preço bom, levando-se em conta que é bastante aconchegante. Quartos com ar-condicionado, tv à cabo e hotel oferece café da manhã. O único porém foi a questão do wi-fi no quarto. Tínhamos que pagar uma taxa extra para cada ponto que fosse utilizar a internet.
"	positivo
41	"Quando cheguei me mandaram para um quarto no subsolo, se não bastasse não ter janelas, o frigobar estava desligado, portanto sem nenhum artigo e até os lençóis estavam desgastados. No dia seguinte solicitei e fui transferido para um quarto no terceiro andar de muito boa qualidade. Sugiro quem for se hospedar lá, colocar uma observação que não quer se hospedar no subsolo.
"	neutro
42	"O hotel traz um conforto bom aos viajantes, local bem higienico, cama espaçosa, bem localizado próximo aos shoppings, a esplanadas dos ministérios, o café da manhã também é muito bom, o atendimento aos hóspedes é bom!
"	positivo
43	"Este hotel está bom localizado na asa norte e próximo ao centro de Brasília, o shopping fica a poucas quadras, além das proximidades com monumentos históricos. As acomodações são razoáveis e o café da manhã é satisfatório.
"	positivo
44	"O quarto é bastante confortável (fiquei no triplo, com 3 camas de solteiro). Pagamos 180 por diária. Tem um café da manhã satisfatório. Não tem tantos luxos, mas tem uma comida gostosa, atendimento eficiente, tudo limpinho e arrumado. Dão sabonete, shampoo, toalha de rosto e corpo. Tudo certo. O chuveiro é muito bom (com misturador com água quente e fria). O banheiro é grande e é equipado com um secador de cabelo pequeno. O único grande problema é não ter internet grátis nem no saguão: R$ 12,80 por dia para ter acesso a uma senha que só podia ser usada em um aparelho. O hotel fica bem localizado na zona hoteleira norte em frente à Torre de TV, próximo ao Shopping Brasília e ao estádio Mané Garrincha. Na frente do hotel tem um ponto de taxi.
"	positivo
45	"O Bittar Plaza Hotel é uma opção interessante para quem viaja para a capital do país. Bem localizado no setor hoteleiro Norte, o hotel tem um bom custo benefício. Não é indicado para as pessoas que procuram um lugar novo, pois suas instalações são mais... 
"	neutro
46	"Hotel com ótima localização, próximo aos shoppings, restaurantes e das esplanadas dos ministérios, da torre de tv do estádio nacional mané garrincha, e o atendimento dos funcionários e acomodações são boas!
"	positivo
47	"A localização é perfeita no setor hoteleiro norte. O hotel foi reformado e tem marcas da reforma. Quarto e banheiro espaçosos e com razoável conforto. O serviço de quarto é aceitável. Café da manhã é acima da média. Bom número de canis a cabo (empresa... 
"	neutro
48	"Bom hotel, excelente localização. Apesar de antigo, os quartos são amplos e reformados, o banheiro espaçoso, chuveiro maravilhoso. Café da manhã com pouca variedade, mas com frutas frescas e tudo saboroso. Tem ônibus executivo direto do aeroporto, a cada meia hora, que pára ao lado... 
"	positivo
49	"Com certeza um dos melhores custos - benefícios na ida para Brasília. O único ponto de melhoria é o café da manhã. Os empregados são muito educados, excelente atendimento. Super indico para os viajantes a negócio!
"	positivo
50	"hotel com quartos renovados, amplos e bem equipados. Agilidade no atendimento. Boa localização. Ótimo custo benefício. Hotel apenas para dormir porque não há maior estrutura. Restaurante peca pela falta de infraestrutura. Café bem básico. Executivo do Aeroporto passa a 20 metros.
"	neutro
51	"A primeira impressão foi péssima Pois a recepcionista do hotel foi grosseira com um hóspede. ENo segundo dia que ficamosnp hotel chegaram as 22 hoo e pedimos uma toalha pois estávamos em duas pessoas e deixaramSomente uma toalha, e a recepcionista foi muito grosseriae disse que não poderia resolver nosso problemaInaceitável não vale aPena o preço baixo !!
"	negativo
52	"Um bom hotel, o saguão não é muito agradável pois é um hotel aparentemente velho, no entanto, os quartos estão reformados e em boas condições, limpos e com boas camas, frigobar e tv a cabo. Desvantagem: Não possui wi-fi gratuita, é cobrado uma taxa diária. Café da manhã possui o básico, atendendo as necessidades. A localização é muito boa, próximo a dois shopping centers (Shop. Brasília e Conj. Nacional) e a Pontos turísticos.É um bom hotel para quem não necessidade de luxo, possuindo um bom custo x benefício.
"	neutro
53	"O custo benefício vale a pena, tendo em vista que o hotel está bem localizado, com shopping perto e táxi à disposição bem na frente. O atendimento das meninas da recepção foi bem atencioso. O café da manhã é simplesmente suficiente pra quem não é muito exigente. Pra eu está ótimo.
"	positivo
54	"Hotel bastante junto pelo valor. Um excelente custo benefício podendo ser utilizado como laser. Bem localizado, próximo à várias atrações como shopping centre, museu dos correios, visão noturna fantástica... Fácil acesso. recomendo.
"	positivo
55	"Trata-se de um hotel simples, situado no centro de Brasília, com excelente localização. Apesar de não ofertar áreas de laser, compensa se hospedar neste local por um quesito extraordinário, preço super acessível.
"	positivo
56	"Hotel bem localizado, quartos razoáveis, serviço de quarto com pratos caros e que não valem o preço, cobra pelo acesso ao wifi. Limpeza ok, embora possa melhorar. Chuveiro com goteira e fluxo de água irregular.
"	neutro
57	"O Hotel está localizado próximo a alguns pontos turísticos de Brasília como a Torre de TV. Bom atendimento, acomodação confortável. bom quarto, espaçoso. Banheiro espaçoso. Café da manhã bom, com variedade.
"	positivo
58	"Fui a trabalho. O café da minhã era completo. Fica localizado próximo a dois shoppings. Fui bem atendido e os funcionários são atenciosos. Não tive problemas com a reserva. É possível ir a pé até os ministérios, porém, em dias de sol você pode acabar suando um pouco.
"	positivo
59	"Fiquei em uma quarto duplo com duas camas de solteiro. No quarto que figuei, o ar condicionado é sprinter, mas reparei que também tem quartos com ar convencional de parede. Os camas são confortáveis e o cafe da manha é simples, mas é bom, visto que fiquei no hotel a trabalho. Gostei muito do hotel pelo custo beneficio em relação ao conforto e localização. O ruim é ter que pagar para ter WI-FI. Mas indico o hotel.
"	positivo
60	"Hotel simples mas muito bom, bem localizado, perto de shopping e com fácil acesso para diversas conveniências. O problema era o ar condicionado do apartamento vizinho ao meu. Acordei na primeira noite achando que era o aparelho do meu apartamento, desliguei e o barulho continuava. Se resolverem o problema recomendo
"	neutro
61	"O apartamento aparentava ter sido reformado a pouco tempo, no entanto o banheiro não, mas não tive problemas com isso. O problema era o ar condicionado do apartamento vizinho ao meu. Acordei na primeira noite achando que era o aparelho do meu apartamento, desliguei e o barulho continuava, foi bem difícil retomar o sono, problema que se repetiu na noite seguinte. O café da manhã é variado, mas foram oferecidos alguns pães tipo croissant e brioches que não estavam com uma cara muito boa, não foi minha escolha, portanto não tive problemas com isso... Enfim... pelo preço, uma hospedagem razoável... Voltaria a me hospedar devido à localização, para ir à UNB, que foi o meu caso, é boa já que fica a poucos Km, além disso tem ponto de táxi na porta, ponto de ônibus tbm e 02 shoppings nas proximidades, facilita a vida de qualquer pessoa... P. S.: A internet é paga a parte!
"	neutro
62	"Hotel simples mas muito bom, bem localizado, perto de shopping e com fácil acesso para diversas conveniências. Bom para turismo e negócios. Quarto e banheiro limpo. Bom café da manhã. Brasília é uma cidade muito cara quando o assunto é hospedagem portanto esse hotel é uma opção mais razoável.
"	positivo
63	"O hotel não tem fachada bonita. Tem excelente localização. Próximo a dois shoppings, torre, estádio mané guarrincha. Quarto com armário para roupa bom , boas gavetas, escrivaninha, criados bons e bom espaço. WC bom. Enfin tamanho do quarto muito bom. Café da manhã bom. Limpeza todos os dias porém não trocam toalhas. Ar antigo, muito barulhento. sacada faltanto limpeza. Vaso sanitário encardido.
"	neutro
64	"Restaurante velho, sujo, encontrei barata no quarto, atendimento ruim, café da manha com produtos vencidos. Estacionamento é público Impossível se hospedar neste hotel. Péssima qualidade de sono e experiência.
"	negativo
65	"Hotel bem situado, na zona hoteleira de Brasília. Quartos grandes mas de decoração muito simples. Hotel bom para pernoitar em negócios. Preços muito acessíveis. Pequeno almoço com pouca variedade. Simpatia dos funcionários.
"	neutro
66	"Fiz a reserva e quando cheguei encontrei o hotel fechado para reformas, nenhum tipo de aviso foi dado quando da realização da reserva. Tive que procurar outro hotel da rede para só então ser informado que as reservas de Bittar Plaza Hotel seriam direcionadas para outro hotel da rede. Não recomendo!
"	negativo
67	"O hotel é próximo ao Brasília Shopping, mas o hotel é um pouco velho, o Wi-Fi paga 10 reais ao dia, entra cracudo na recepção a noite e os funcionários não são simpáticos. Bom pra passar poucos dias. Não posso reclamar da limpeza, pois foi limpo todos os dias.
"	neutro
68	"O que mais prezo na hospedagem em um hotel é a limpeza da cama, banheiro, quarto e restaurante. Seguido do atendimento tanto da recepção como do restaurante. Neste hotel a limpeza deixou a desejar, tanto do travesseio (manchado) e da toalha de banho (suja). Não tinha sabonete e nem shampoo. Quanto grande. Café da manha, bom. Relação custo x benefício: razoável. Precisam melhorar na limpeza. Um dia de manha faltou água quente no banho. Problema na caldeira. Resolvido em 15 min, mas atrasou meus compromissos. Outro ponto negativo: Wi-Fi é paga.
"	neutro
69	"Fiz a reserva e não respeitaram, sem respeito pelo cliente, o estacionamento não é privado e público e o hotel diz ser dele, ambiente fraco, mal atendimento, viajamos de longe e quando chegamos nem fomos respeitados, mesmo com a reserva feita alugaram o quarto, muito fraco
"	negativo
70	"hotel bem localizado na região central proximo ao shopping e a demais pontos da cidade (refeições, centro empresariais, etc) equipe atenciosa, quartos espaçosos porem o hotel é antigo e tem aquele odor de quartos velhos, apesar do preço acessivel nao recomendo.
"	neutro
71	"Fiquei hospedado no hotel por apenas um dia e não recomendo para ninguém o atendimento na recepção era péssimo. Os quartos antigos ar condicionado velho e barulhento e o frigobar na mesma condição. Tinha poeira no quarto. Café da manhã sem ter quase nenhuma opção.
"	negativo
72	"Hotel com a estrutura suficiente para um ou dois dias de hospedagem! Banheiro um pouco antigo e com cheiro ruim! Mas boa cama e quarto recém reformado. Ideal para bom e barato com hospedagens rápiadas
"	neutro
73	"Hotel meio velho mas com boas acomodações para uma visita a Brasília. Foi escolhido por estar com melhor preço e acabou valendo a pena. A localização é boa (bem perto da torre de TV, possível ir a pé).
"	positivo
74	"Não recomendo. Hotel velho, cheiro de mofo com uma estrutura péssima. tivemos problema no o funcionário. wi-fi tinha mais não funcionava muito bem. a vantagem é que é perto do shopping e não tao longe do aeroporto.
"	negativo
75	"Para que for escolher esse hotel, solicite o andar de cima, pois esses andares estão reformados ao contrário dos andares baixo, onde vc encontrará tudo velho. O Hotel dispõe de um café da manhã simples, porém gostoso.
"	neutro
76	"Não recomendo. Hotel velho, cheiro de mofo. Me colocaram em um quarto de deficiente sem avisar. Cafe sem variedades. Funcionarios antipaticos. Frigobar sem reposicao. Estacionamento na rua. Forte cheiro de cigarro no recinto. Nao recomendo.
"	negativo
77	"Fui para um congresso em Brasília, com uma delegação mediana e a inicio tivemos problema no check-in que amavelmente o funcionário resolveu. Infelizmente o quarto em que ficamos, uma amiga e eu, era pequeno, não tinha janela, somente um pequeno basculante vertical. O quarto era muito barulhento, se escutava tudo que se fazia na cozinha, ou as pessoas que chegavam pelo saguão. O wi-fi é pago. Café da manhã muito simples, mas gostoso. Ponto positivo: Funcionários bem educados e prestativos, boa localização perto do Centro de Convenções Ulisses Guimarães e da Torre de TV, além do Shopping Conjunto Nacional. Ponto Negativo: Quarto pequeno, muito barulhento
"	neutro
78	"Hotel muito bom, confortável, com boa infraestrutura. Ar condicionado, banheiro amplo, funcionários educados e simpáticos. Recomendo a todos que permanecerem em Brasília. Permanece próximo ao eixo-monumental, porem longe dos centros de convenções.
"	positivo
79	"Hotel muito bom, limpo, organizado, quarto amplo, ar condicionado bom e banheiro amplo. Próximo ao eixo monumental, porem distante do centro comercial. Café da manhã excelente, funcionários atenciosos. Bom custo benefício.
"	positivo
80	"O hotel é muito bom. Limpo e arejado. Fica localizado um pouco longe dos centros de convenções, mas dependendo do lugar onde você vai, é viável. Café da manhã muito bom. Camas confortáveis. Recomendo; .
"	positivo
81	"Bem simples mas o preço está bem em conta considerando os preços praticados em Brasilia. Estive num domingo mas acabei esticando até a quarta feira. O recepcionista foi atencioso, explicou tudo direitinho, e ainda deu um desconto para ficarmos mais dias. O quarto era simples mas bastante limpo e a cama era confortável. O café da manhã tb é bastante simples mas bem preparado.
"	positivo
82	"O valor da diária é em conta, o hotel é bem localizado, um pouco antigo, mas o quarto em que fiquei estava arrumadinho, o ar funcionou bem, mas no banheiro a água quente espirrava bastante na hora de sair... Café da manhã gostoso, com sucos, café, frutas, salgados, frios, salsicha, ovos mexidos etc. Não utilizei a WiFi porque tinha que pagar. Esses serviços opcionais saíam bem caros. O copinho de água era caro. Estacionamento público de frente para o hotel, tinham muitas vagas, ponto de ônibus do lado, táxi do lado, localização boa, de fácil acesso, próximo a dois shoppings, próximo a Torre de TV. Tinha alguns funcionários despreparados, outros simpáticos. Bom custo benefício.
"	neutro
83	"O Hotel parece ser um pouco antigo em alguns pontos e mais moderno em outros, é simples, mas muito confortável e com ótima localização, principalmente pra quem vai tirar visto americano. O quarto que fiquei era com estilo mais moderno de decoração, limpo e com camas bem confortáveis. 2 Travesseiros de penas de ganso por cama, lençóis e toalhas novas, limpas e de qualidade. Tanto o quarto como o banheiro estavam bem limpos e organizados. Café da manhã bem sortido, e gostoso. Tudo muito caprichado. Funcionários simpáticos e eficientes. Os únicos pontos negativos foram a saída de água do chuveiro que espalhava mais água pros lados do que pro centro, e o cheiro de cigarro. Mas no geral fiquei muito satisfeita. Recomendo !
"	neutro
84	"Ficamos em um quarto de canto, com uma varanda bem grande. O local é bem sossegado... quarto aconchegante e bom café da manhã. Ótimo custo benefício... Além de bem localizado. De todas as redes Bittar, esse é o único que recomendo.
"	neutro
85	"O hotel é bom, ótimo custo benefico por ser bem no centro, pertinho do Brasilia Shooping. Café da manhã é muito bom, bem variado e as camas são muitos boas, tem tv a cabo. Ar condicionado funcionou bem. Tem um ponto de onibus bem do lado e um ponto de taxi também. Os contras foram que tinha um cheiro irritante de xule no banheiro que incomodava, e não tem wifi grátis.
"	positivo
